language,domain,a_best_k,a_best_silhouette,b_h0_s,b_h0_m,b_h0_v,b_h0_e,b_h0_n_d_m_t0.25,b_h0_n_d_m_t0.5,b_h0_n_d_m_t0.75,b_h0_n_b_l_t0.25,b_h0_n_b_l_t0.5,b_h0_n_b_l_t0.75,b_h0_t_b,b_h0_t_d,b_h1_s,b_h1_m,b_h1_v,b_h1_e,b_h1_n_d_m_t0.25,b_h1_n_d_m_t0.5,b_h1_n_d_m_t0.75,b_h1_n_b_l_t0.25,b_h1_n_b_l_t0.5,b_h1_n_b_l_t0.75,b_h1_t_b,b_h1_t_d,c_mean_cross_dist,c_warn,c_oov_tier
en,color,8,0.0721,2.4027986973524094,0.2402798697352409,0.0701604883474472,2.2595478604436976,4.0,0.0,0.0,10.0,10.0,10.0,0.0,0.3539952635765075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48619999999999997,,1
es,color,6,0.052,2.346132040023804,0.2346132040023803,0.0538284820319787,2.274857568409036,6.0,0.0,0.0,10.0,10.0,10.0,0.0,0.3064378798007965,0.0088156759738922,0.0088156759738922,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3037427067756653,0.3125583827495575,0.4883,,1
ru,color,4,0.0979,1.727206125855446,0.1570187387141314,0.030540217951766,2.379181568900626,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.2023757994174957,0.0345254689455032,0.0172627344727516,0.0049987360835075,0.6506158779916648,1.0,0.0,0.0,2.0,2.0,2.0,0.2431365847587585,0.2653980553150177,0.48160000000000003,,1
en,emotion,3,-0.0284,7.07896414399147,0.41640965552891,0.0818007295736434,2.8139741107475102,17.0,2.0,0.0,17.0,17.0,17.0,0.0,0.5961449146270752,0.1696864366531372,0.0242409195218767,0.022653129684105,1.5228154678672148,7.0,7.0,0.0,0.0,0.0,7.0,0.547855019569397,0.6162927746772766,0.5771,,1
es,emotion,2,0.0074,8.336538136005402,0.3969780064764477,0.1087444489487379,3.00547214741354,19.0,1.0,0.0,21.0,21.0,21.0,0.0,0.7234369516372681,0.2899827063083648,0.0483304510513941,0.0287727449092303,1.608096378866154,6.0,3.0,0.0,0.0,6.0,6.0,0.4871902465820312,0.5868147015571594,0.5856,,1
ru,emotion,2,0.1037,7.267117187380791,0.4037287326322661,0.1290547243558036,2.8388981170809844,17.0,3.0,0.0,18.0,18.0,18.0,0.0,0.6890673637390137,0.2267926633358001,0.0377987772226333,0.0259039115248637,1.5671931676611623,6.0,4.0,0.0,0.0,5.0,6.0,0.4758537709712982,0.5630196332931519,0.6023000000000001,,1
en,kinship,2,-0.0525,4.220057807862759,0.1623099156870291,0.0287534929976245,3.242050780415767,0.0,0.0,0.0,26.0,26.0,26.0,0.0,0.218653917312622,1.063089370727539,0.0559520721435546,0.0305477630854631,2.776006267027176,11.0,0.0,0.0,18.0,19.0,19.0,0.1448895037174224,0.2543037533760071,0.39095,⚠,2
es,kinship,2,0.0301,6.713315695524216,0.2165585708233618,0.0741650308770091,3.38294211703432,6.0,0.0,0.0,31.0,31.0,31.0,0.0,0.481171041727066,1.0329366326332092,0.0469516651196913,0.0379384813395971,2.74069098221343,20.0,0.0,0.0,10.0,22.0,22.0,0.1900705993175506,0.323912650346756,0.42145,⚠,1
ru,kinship,2,0.1771,7.777061715722084,0.2508729585716801,0.0583652676556084,3.407582781368034,14.0,0.0,0.0,31.0,31.0,31.0,0.0,0.3881213665008545,0.8585851639509201,0.0476991757750511,0.0321389955826608,2.622793424431439,18.0,0.0,0.0,1.0,18.0,18.0,0.2745954394340515,0.3809020221233368,0.4354,⚠,2
