pair,bottleneck_d0,bottleneck_d1,sliced_wasserstein_d0,sliced_wasserstein_d1,persistence_image_d0,persistence_image_d1,bars_statistics_d0,bars_statistics_d1
en/blue — es/azul,0.1294710338115692,0.05280227214097977,11.211835861206055,0.9242522120475769,1.13918137550354,0.05992767959833145,0.2198491394519806,0.7447789907455444
en/blue — ru/синий,0.09689460694789886,0.04209060221910477,8.916497230529785,0.7547173500061035,0.8749435544013977,0.04226341098546982,0.17328503727912903,0.6031607389450073
en/blue — ru/голубой,0.08843377232551575,0.03930572792887688,7.597062587738037,0.7142016887664795,0.6637508869171143,0.018930787220597267,0.18411915004253387,0.48966896533966064
es/azul — ru/синий,0.09609764814376831,0.029414519667625427,5.340192794799805,0.7479168176651001,0.2851468622684479,0.01955161802470684,0.144120454788208,0.5111830234527588
es/azul — ru/голубой,0.13250413537025452,0.030538396909832954,8.858806610107422,0.9140766859054565,0.5582230687141418,0.041133660823106766,0.24178682267665863,0.6143657565116882
ru/синий — ru/голубой,0.0677608773112297,0.02983975037932396,3.900083065032959,0.67006915807724,0.27488040924072266,0.023590758442878723,0.13276785612106323,0.28490906953811646
